standard_form,dialect_form
병균이라던지 이런 거에 대해서 조금 되게 조금,병균이라던지 이런 거에 대해서 쫌 되게 쫌
무서워가지고 그런 거는 조금,무서워가지고 그런 거는 쫌
그런 게 많잖아요 그래서 그거에 조금,그런 게 많잖아요 그래서 그거에 쫌
조금 예쁘게 조금 이렇게 뭐 의미 있게 이렇게 막,쫌 예쁘게 쫌 이케 뭐 의미 있게 이렇게 막
그러면서 애기야 그러면 지가 오고 뭐 쳐다보고 이러길래,그면서 애기야 그러면 지가 오고 뭐 쳐다보고 이러길래
한 마리 인제 아들을 남겨 놓았는데 걔는,한 마리 인제 아들을 남겨 놨는데 걔는
얘네도 그냥 정말 이름을 조금 막 짓긴 했어요 막 지어 가지고,얘네도 그냥 정말 이름을 쫌 막 짓긴 했어요 막 지어 가지고
너무 생각이 나서 슬프다고 하는 거예요 그래서 차라리 그 이름을 말고 조금 어려운 이름을 지을걸 이런 생각을 해 가지고,너무 생각이 나서 슬프다고 하는 거예요 그서 차라리 그 이름을 말고 쫌 어려운 이름을 지을걸 이런 생각을 해 가지고
회차가 막 십 화 이렇게 넘고 러닝 타임이 조금 길면,회차가 막 십 화 이렇게 넘고 러닝 타임이 쫌 길면
상단에 이렇게 뜨잖아요 드라마 제목이 그래서 엄마한테,상단에 이케 뜨잖아요 드라마 제목이 그래서 엄마한테
없어지면 이제 하는 거잖아요 그래서 없어졌어 없어졌어 하면서 맨날 확인하면서,없어지면 이제 하는 거잖아요 그래서 없어졌나 없어졌나 하면서 맨날 확인하면서
그리고 제가 조금 잔인한 거 이런 거를 별로 안 좋아해서,그리고 제가 쫌 잔인한 거 이런 거를 별로 안 좋아해서
네 저는 드라마 장르를 저도 대개 로맨스 위주로 조금 봤던 거 같애요,네 저는 드라마 장르를 저도 대개 로맨스 위주로 쫌 봤던 거 같애요
그거는 생각보다 조금,그거는 생각보다 쫌
넷플릭스에 약간 이건 조금,넷플릭스에 약간 이건 쫌
조금 넷플릭스에서 만든 드라마나,쫌 넷플릭스에서 만든 드라마나
휴식하면서 조금 더 이어 보고 하는데 저는,휴식하면서 쫌 더 이어 보고 하는데 저는
조금 처음부터 다시 봤었는데,쫌 처음부터 다시 봤었는데
뭔가 너무 그런 물들을 많이 봐서 최근에 슬기로운 의사 생활을 봤다가 그냥 접었어요 그것도,뭔가 너무 그런 물들을 많이 봐서 최근에 슬기로운 의사 생활을 봤다가 걍 접었어요 그것도
그것도 잔인하긴 한데 그래도 조금,그것도 잔인하긴 한데 그래도 쫌
그것보다는 조금 더 이제 그것도 스릴 넘치고 해서 조금 보긴 봤었거든요 그래서,그것보다는 쫌 더 이제 그것도 스릴 넘치고 해서 쫌 보긴 봤었거든요 그래서
아 그러니까 외국물이나 이런 걸 많이 보신다 했는데,아 그까 외국물이나 이런 걸 많이 보신다 했는데
거기에 이제 명대사가 진짜 조금 많이 나와요,거기에 이제 명대사가 진짜 쫌 많이 나와요
이종석이 나오는 거는 진짜 웬만한 거는 조금 재밌는 거 같다는 생각이 들었어요,이종석이 나오는 거는 진짜 웬만한 거는 쫌 재밌는 거 같다는 생각이 들었어요
이종석이 그렇게 드라마 고르는 능력이 되게 조금,이종석이 그렇게 드라마 고르는 능력이 되게 쫌
그냥 끼도 많아가지고 되게 개그성 있게 이렇게 잘 표현을 해내더라고요 그래서 되게,그양 끼도 많아가지고 되게 개그성 있게 이렇게 잘 표현을 해내더라고요 그래서 되게
되게 멘트 하나하나가 진짜 예술인 거예요 그래서 어떻게 이렇게 말할 수 있지 그냥,되게 멘트 하나하나가 진짜 예술인 거예요 그래서 어떻게 이렇게 말할 수 있지 걍
이렇게 유명한 거 쓴 것도 많은 거 같았는데,이케 유명한 거 쓴 것도 많은 거 같았는데
이렇게 못 쓴다,이케 못 쓴다
작가라는 게 조금,작가라는 게 쫌
근데 저는 사실 여태까지 미드,근데 저는 사실 여때까지 미드
인가 아무튼 그거를 막 그걸로 막 말을 하는데 조금 살짝 거부감이 느껴지는 거예요 제가 한 번도 그런,인가 아무튼 그거를 막 그걸로 막 말을 하는데 쫌 살짝 거부감이 느껴지는 거예요 제가 한 번도 그런
생각해 보면 프랑스어도 다 낯선 외국어인데 뭔가 조금,생각해 보면 프랑스어도 다 낯선 외국어인데 뭔가 쫌
어 드라마도 봤다고 하셨는데 어 그냥 조금 놀랬어요 저는,어 드라마도 봤다고 하셨는데 어 그냥 쫌 놀랬어요 저는
어 저는 한국 드라마를 그냥 대부분 보고 예전에 그 영어를 이제 처음에 배울 때,어 저는 한국 드라마를 걍 대부분 보고 예전에 그 영어를 이제 처음에 배울 때
미드를 많이 보면 조금,미드를 많이 보면 쫌
그거를 이제 봤었어요 근데 조금 재밌긴 하더라구요?,그거를 이제 봤었어요 근데 쫌 재밌긴 하더라구요?
그래서 그거 말고 하나 더 봤는데 그거는 지금 거의 아,그서 그거 말고 하나 더 봤는데 그거는 지금 거의 아
그래서 그냥 가족들이 되게 웃기더라고요,그래서 걍 가족들이 되게 웃기더라고요
네 기억이 있고 지금도 현재 진행형 아 아이엔지로 이렇게 보고 있는데 혹시나 혹시나 넷플릭스에 있으니까,네 기억이 있고 지금도 현재 진행형 아 아이엔지로 이케 보고 있는데 혹시나 혹시나 넷플릭스에 있으니까
어렸을 적 꿈 같은 거 있니?,어렸을 적 꿈 같은 거 있나?
나는 어렸을 완전 어렸을 때부터 꿈이라 생각하면은 엄청 많이 바뀌었거든?,나는 어렸을 완전 어렸을 때부터 꿈이라 생각하면은 엄청 많이 바꼈거든?
기자님들 인터넷에 엄청 많은 기사들이 있잖아 거기서 내가 조금 감명 깊게 읽은 기사들,기자님들 인터넷에 엄청 많은 기사들이 있잖아 거기서 내가 쫌 감명 깊게 읽은 기사들
거기서 공통적으로 말씀하시는 게 책을 많이 읽어야 된다 이 말이었거든,그기서 공통적으로 말씀하시는 게 책을 많이 읽어야 된다 이 말이었거든
아 진짜 책 좀 읽어야겠다 해서 그때는 조금 책 관심 있게 보고 그랬었단 말이야?,아 진짜 책 좀 읽어야겠다 해서 그때는 쫌 책 관심 있게 보고 그랬었단 말이야?
부모님은 조금 더 안정적인 직업을 원하셨거든,부모님은 쫌 더 안정적인 직업을 원하셨거든
광범위하잖아 또 하고 싶은 사람도 많고 거기에 취업하는 게 길이 엄청 어렵다 보니까,광범위하잖아 또 하고 싶은 사람도 많고 그기에 취업하는 게 길이 엄청 어렵다 보니까
그래서 나는 이제 그때 사회 복지사라는 직업에 대해서 조금 관심을 가지면서,그래서 나는 이제 그때 사회 복지사라는 직업에 대해서 쫌 관심을 가지면서
또 내 적성에 조금 맞을 거 같다,또 내 적성에 쫌 맞을 거 같다
그러고 그때 초등학교 교사가 조금 애들 사이에서 유행이었던 거 같애,그러고 그때 초등학교 교사가 쫌 애들 사이에서 유행이었던 거 같애
바뀌었어 근데,바꼈어 근데
했니 했니 이랬는데 나는,했나 했나 이랬는데 나는
코로나가 조금 진정되면 해야겠다 이렇게 생각했는데 아직도 진정이 안 됐잖아 근데 내가,코로나가 쫌 진정되면 해야겠다 이렇게 생각했는데 아직도 진정이 안 됐잖아 근데 내가
기출 문제만 조금 돌리다 보면은,기출 문제만 쫌 돌리다 보면은
필 기출 문제만 조금,필 기출 문제만 쫌
조금 공부량이 있는 상태에서 가니까 그래도 조금 문제가 보이더라고 그래가지고 그때는 이제,쫌 공부량이 있는 상태에서 가니까 그래도 쫌 문제가 보이더라고 그래가지고 그때는 이제
조금 높은 점수로 생각보다 합격을 하게 됐는데,쫌 높은 점수로 생각보다 합격을 하게 됐는데
이번에 교외 근로라도 신청을 해보고 싶은데 교외 근로 뽑는 인원도 이번에 엄청 줄었다고 하더라고,이번에 교외 근로라도 신청을 해보고 싶은데 교외 근로 뽑는 인원도 이번에 엄청 쭐었다고 하더라고
우리 학교가 조금 안 뽑는대 생각보다 그리고 분위도 엄청 낮아야 되고,우리 학교가 쫌 안 뽑는대 생각보다 그리고 분위도 엄청 낮아야 되고
나중에 여행 갈 때 돈 조금 보태 거나 그럴려고,나중에 여행 갈 때 돈 쫌 보태 거나 그럴려고
있는 게 아니라 조금 나와서 많이 생활하고 싶단 말이야,있는 게 아니라 쫌 나와서 많이 생활하고 싶단 말이야
그냥 늙어도 막 친구들이랑 같이 나 남편이랑 같이 자전거도 타고,걍 늙어도 막 친구들이랑 같이 나 남편이랑 같이 자전거도 타고
나는 일단 내 목표라고 하면은 조금 안정적인 삶을 사는 게,나는 일단 내 목표라고 하면은 쫌 안정적인 삶을 사는 게
지금도 머리가  계속 조금 안 자라고 힘이 없고 그래 가지고,지금도 머리가  계속 쫌 안 자라고 힘이 없고 그래 가지고
조금 별로 안 좋게 생각하고 있어요,쫌 별로 안 좋게 생각하고 있어요
저는 스트레스를 조금 많이 받는 편이라서,저는 스트레스를 쫌 많이 받는 편이라서
다른 사람들이 뭐라 말할 때 이 사람이 왜 나한테 그러는 건가,따른 사람들이 뭐라 말할 때 이 사람이 왜 나한테 그러는 건가
그런 걸 조금 자제하는 편이고,그런 걸 쫌 자제하는 편이고
또 건강할려면은 그런 편이 확실히 나으니까 뭐 이렇게 또 생각하고 있습니다,또 건강할려면은 그런 편이 확실히 나으니까 뭐 이케 또 생각하고 있습니다
저도 어렸을 때는 스트레스를 조금 많이 받고 남들 말하는 걸 신경을 조금 많이 쓰고,저도 어렸을 때는 스트레스를 쫌 많이 받고 남들 말하는 걸 신경을 쫌 많이 쓰고
그래서 조금 조심하는 편인 거 같아요,그래서 쫌 조심하는 편인 거 같아요
저는 외향적이다 보니 외향적이다보다는 내향적인 조금 성격이라 가지고,저는 외향적이다 보니 외향적이다보다는 내향적인 쫌 성격이라 가지고
쪼 조금 더 좋게 생각하려고 노력하는 편이에요,쪼 쫌 더 좋게 생각하려고 노력하는 편이에요
혹시 이렇게 자기만의 시간을 가지신다거나 아니면은 조금 더,혹시 이렇게 자기만의 시간을 가지신다거나 아니면은 쫌 더
다른 사람의 입장에서 이해하시려고,따른 사람의 입장에서 이해하시려고
스트레스를 풀러 간다든지 그런 거는 저도 조금 안 맞는 거 같더라구요,스트레스를 풀러 간다든지 그런 거는 저도 쫌 안 맞는 거 같더라구요
다른 사람이랑 떠올리기보다는 또 저 혼자서 움직이는 편을 좋아하니까,따른 사람이랑 떠올리기보다는 또 저 혼자서 움직이는 편을 좋아하니까
만약에 친구들이나 누가 또 방문하면 조금 도와달라 이렇게 할 수도 있고,만약에 친구들이나 누가 또 방문하면 쫌 도와달라 이렇게 할 수도 있고
다른 운동 시작해보겠다라고 생각하신 거 혹시 있으신가요?,따른 운동 시작해보겠다라고 생각하신 거 혹시 있으신가요?
조금 기에 눌리는 기분이 들어가지고 포기하게 됐고,쫌 기에 눌리는 기분이 들어가지고 포기하게 됐고
목 이쪽으로는 한의원 가서 항상 조금 침을 종종 조금 마시 맞는 편이고,목 이쪽으로는 한의원 가서 항상 쫌 침을 종종 쫌 마시 맞는 편이고
다른 거는 크게 아픈 부분이 없어서 오늘 건강 검진을 조금 받아보고 저도,다른 거는 크게 아픈 부분이 없어서 오늘 건강 검진을 쫌 받아보고 저도
그 지금 요새 코로나 때문에 다들 조금 힘든 시기인데,그 지금 요새 코로나 때문에 다들 쫌 힘든 시기인데
먼지를 많이 마신다거나 아니면은 조금 뛰어다니면서 조금 많이,먼지를 많이 마신다거나 아니면은 쫌 뛰어다니면서 쫌 많이
천식 때문에 그런 고생을 조금 하고 있습니다,천식 때문에 그런 고생을 쫌 하고 있습니다
그 비타민 말고는 다른 거는 안 먹으니까 아무래도,그 비타민 말고는 따른 거는 안 먹으니까 아무래도
그리고 건강은 조금 가족력으로 유 유전되는 경우가 많은데 저희 어머니께서는,그리고 건강은 쫌 가족력으로 유 유전되는 경우가 많은데 저희 어머니께서는
더 이상 뭐 딱히 뭐 다른 거 계약하거나 그러고 싶지는 않고요 앞으로,더 이상 뭐 딱히 뭐 따른 거 계약하거나 그러고 싶지는 않고요 앞으로
혹시 이런 점 때문에 보험을 다른 걸로 바꾸신다거나 아니면은,혹시 이런 점 때문에 보험을 따른 걸로 바꾸신다거나 아니면은
다른 데 쓰고 싶다 이런 생각을 해보신 적 있으신가요?,따른 데 쓰고 싶다 이런 생각을 해보신 적 있으신가요?
네 저는 옷 샤 옷 같은 거 쇼핑하는 걸 조금 좋아하는 편인데,네 저는 옷 샤 옷 같은 거 쇼핑하는 걸 쫌 좋아하는 편인데
가가지고 입어보고 이런 거를 조금 귀찮아하는 스타일이라서,가가지고 입어보고 이런 거를 쫌 귀찮아하는 스타일이라서
자라 이런 곳에서 주로 사고 어 뭐 외투 같은 조금,자라 이런 곳에서 주로 사고 어 뭐 외투 같은 쫌
그런 거는 다른 사람이랑 겹치면 조금 그러니까,그런 거는 다른 사람이랑 겹치면 쫌 그러니까
저는 조금 퀄리티 있는 옷 약간,저는 쫌 퀄리티 있는 옷 약간
그 이제 가격 비교도 하기 조금 쉬워가지고,그 이제 가격 비교도 하기 쫌 쉬워가지고
시간이 조금 나니까 이제 다시 닌텐도 꺼내서,시간이 쫌 나니까 이제 다시 닌텐도 꺼내서
조금 오랜만에 조금 하고 싶네요,쫌 오랜만에 쫌 하고 싶네요
근데 저는 조금 옛날에 사가지고 조금,근데 저는 쫌 옛날에 사가지고 쫌
조금 안 사려고 하는 편이구요,쫌 안 사려고 하는 편이구요
